Part Number,Ja,Fe,Ma,Ap,My,Ju,Jl,Au,Se,Oc,No,De,1st Qtr,2nd Qtr,3rd Qtr,4th Qtr,This Year,Last Year
7129907373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7129905120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7129907400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46548527775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129907433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
7129908675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7129907402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
336019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7129907382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
7129906138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
M01610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4051-034-660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4051-036-000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129908466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
7129909676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7129907398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7129905380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129907377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7129909413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129905217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7129905261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
7129907412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7129905494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7129908137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
4051-036-660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129908658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7129905244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
361-3778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361-5305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28620421A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34913191A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4052-000-150-000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
