,Part Number,Description,Supplier Name,Price,Quantity,Months No Sale,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales - This Year,Turnover,Total Cost
4996,11311341295,left chain tensioner,bmw,52.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8
5021,11317108586,set chain tensioner left,bmw,195.99,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.4
5028,11317665882,"repair kit, timing gear lini",bmw,82.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.04
5029,11317665882,"repair kit, timing gear lini",bmw,82.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.04
5038,11317675270,o-ring,bmw,5.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72
5039,11317675270,o-ring,bmw,5.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72
5042,11317675400,slide rail,bmw,52.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6
5043,11317675400,slide rail,bmw,52.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.6
5046,11317676592,bearing screw,bmw,6.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
5047,11317676592,bearing screw,bmw,6.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
5080,11317695823,chain tensioner,bmw,96.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.52
5081,11317695823,chain tensioner,bmw,96.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.52
5085,11317700128,gasket ring,bmw,3.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96
5086,11317700128,gasket ring,bmw,3.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96
5090,11317700344,roll pin,bmw,4.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
5091,11317700344,roll pin,bmw,4.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
5094,11317701020,washer,bmw,27.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6
5095,11317701020,washer,bmw,27.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6
5099,11317702113,washer,bmw,28.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.24
5100,11317702113,washer,bmw,28.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.24
5112,11317707797,"chain tensioner, left",bmw,180.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.6
5113,11317707797,"chain tensioner, left",bmw,180.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.6
5116,11317707798,"chain tensioner, right",bmw,180.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.6
5117,11317707798,"chain tensioner, right",bmw,180.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.6
5120,11317708198,camshaft sprocket,bmw,105.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.2
5121,11317708198,camshaft sprocket,bmw,105.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.2
5143,11317717289,o-ring set,bmw,21.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8
5144,11317717289,o-ring set,bmw,21.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8
5156,11317728284,gasket,bmw,45.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.2
5157,11317728284,gasket,bmw,45.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.2
5164,11318521660,camshaft sensor reluctor rin,bmw,23.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.22
5165,11318521660,camshaft sensor reluctor rin,bmw,23.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.22
5192,11318530331,"cylinder f chain tensioner,",bmw,70.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.4
5193,11318530331,"cylinder f chain tensioner,",bmw,70.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.4
5196,11318531009,set of chain tensioners,bmw,160.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.4
5197,11318531009,set of chain tensioners,bmw,160.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.4
5206,11318534849,"screw plug, silver",bmw,62.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
5207,11318534849,"screw plug, silver",bmw,62.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
5210,11318540922,friction disk,bmw,10.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88
5211,11318540922,friction disk,bmw,10.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88
5225,11318544978,"intermediate shaft, right",bmw,680.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.15
5226,11318544978,"intermediate shaft, right",bmw,680.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.15
5230,11318546710,gear wheel,bmw,290.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.6
5231,11318546710,gear wheel,bmw,290.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.6
5234,11318546711,gear wheel,bmw,290.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.8
5235,11318546711,gear wheel,bmw,290.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.8
5239,11318546713,gear wheel,bmw,290.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.8
5240,11318546713,gear wheel,bmw,290.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.8
5256,11321250267,seal,bmw,8.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.98
5257,11321250267,seal,bmw,8.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.98
5266,11321460148,adjustment plate,bmw,10.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.35
5267,11321460148,adjustment plate,bmw,10.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.35
5270,11321460149,adjusting plate,bmw,10.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68
5271,11321460149,adjusting plate,bmw,10.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68
5274,11321460150,adjusting plate,bmw,10.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.35
5275,11321460150,adjusting plate,bmw,10.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.35
5278,11321460151,adjusting plate,bmw,10.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68
5279,11321460151,adjusting plate,bmw,10.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68
5290,11321460154,adjusting plate,bmw,17.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5
5291,11321460154,adjusting plate,bmw,17.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5
5298,11321460156,adjusting plate,bmw,10.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.01
5299,11321460156,adjusting plate,bmw,10.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.01
5306,11321460158,adjusting plate,bmw,10.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.35
5307,11321460158,adjusting plate,bmw,10.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.35
5310,11321460159,adjusting plate,bmw,10.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68
5311,11321460159,adjusting plate,bmw,10.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.68
5314,11321460160,adjusting plate,bmw,10.99,20.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.4
5315,11321460160,adjusting plate,bmw,10.99,20.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.4
5318,11321460161,adjusting plate,bmw,10.99,16.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.72
5319,11321460161,adjusting plate,bmw,10.99,16.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.72
5322,11321460162,adjusting plate,bmw,10.99,15.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
5323,11321460162,adjusting plate,bmw,10.99,15.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
5326,11321460163,adjusting plate,bmw,10.99,20.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.4
5327,11321460163,adjusting plate,bmw,10.99,20.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.4
5330,11321460164,adjusting plate,bmw,10.99,10.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7
5331,11321460164,adjusting plate,bmw,10.99,10.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7
5334,11321460165,adjusting plate,bmw,10.99,15.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
5335,11321460165,adjusting plate,bmw,10.99,15.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
5338,11321460166,adjusting plate,bmw,13.99,11.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.63
5339,11321460166,adjusting plate,bmw,13.99,11.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.63
5342,11321460167,adjusting plate,bmw,10.99,8.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.36
5343,11321460167,adjusting plate,bmw,10.99,8.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.36
5348,11327666046,cam follower,bmw,50.99,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.34
5349,11327666046,cam follower,bmw,50.99,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.34
5352,11327666047,cam follower,bmw,50.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.02
5353,11327666047,cam follower,bmw,50.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.02
5357,11327666049,cam follower,bmw,50.99,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.34
5358,11327666049,cam follower,bmw,50.99,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.34
5364,11327675540,spacer,bmw,12.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5
5365,11327675540,spacer,bmw,12.99,5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5
5368,11327675542,spacer,bmw,12.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
5369,11327675542,spacer,bmw,12.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
5372,11327675707,spacer,bmw,12.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5
5373,11327675707,spacer,bmw,12.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5
5376,11327675709,spacer,bmw,12.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
5377,11327675709,spacer,bmw,12.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
5380,11327675711,spacer,bmw,12.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
5381,11327675711,spacer,bmw,12.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
5384,11327675713,spacer,bmw,12.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
5385,11327675713,spacer,bmw,12.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
5388,11327675715,spacer,bmw,12.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
5389,11327675715,spacer,bmw,12.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
5392,11327675717,spacer,bmw,12.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5
5393,11327675717,spacer,bmw,12.99,3.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5
5396,11327675719,spacer,bmw,12.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
5397,11327675719,spacer,bmw,12.99,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
