,Part Number,Price,Margin,Quantity,Sales Last Year - Jan,Sales Last Year - Feb,Sales Last Year - Mar,Sales Last Year - Apr,Sales Last Year - May,Sales Last Year - Jun,Sales Last Year - Jul,Sales Last Year - Aug,Sales Last Year - Sep,Sales Last Year - Oct,Sales Last Year - Nov,Last Year Total Sales,Sales - Jan,Sales - Feb,Sales - Mar,Sales - Apr,Sales - May,Sales - Jun,Sales - Jul,Sales - Aug,Sales - Sep,Sales - Oct,Sales - Nov,Total Sales,Sales Last Week,Sales Last 2 Weeks,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales Last 2 Years,Sales Last 3 Years,Sales Last 4 Years,Sales Last 5 Years,Cost Per Unit,Total Cost,Margin %,Obsolete
16828,105277T,69.99,69.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009999999999990905,0.009999999999990905,99.99,1
16841,T2306881T,87.97,87.96,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010000000000005116,0.010000000000005116,99.99,1
16958,56221-01D10-0FP,121.99,34.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.69,87.69,28.12,1
16981,26-JR9C,13.99,4.36,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.629999999999999,77.03999999999999,31.17,1
17128,T2201431,617.99,576.13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.860000000000014,41.860000000000014,93.23,1
17176,361-1693,49.99,23.45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.540000000000003,26.540000000000003,46.91,1
17224,230A5335,9.99,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99,6.99,30.03,1
17251,40-1858,8.99,4.94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.05,54.95,1
17353,T3600133,1.99,1.12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8699999999999999,1.7399999999999998,56.28,1
17410,T3450675,8.99,5.04,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,11.850000000000001,56.06,1
17438,2823-0154,249.99,75.02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.97000000000003,174.97000000000003,30.01,1
17535,09160-16029-AM,7.99,3.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.890000000000001,4.890000000000001,38.8,1
17605,T3500003,8.99,8.37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.620000000000001,0.620000000000001,93.1,1
18109,T3203115,6.99,6.62,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3700000000000001,7.030000000000002,94.71,1
18110,T3331518,3.99,3.67,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3200000000000003,6.080000000000005,91.98,1
18116,T3700207,2.99,2.82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17000000000000037,0.17000000000000037,94.31,1
18225,0602-0654,157.99,63.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.87,94.87,39.95,1
18232,91252-ZW1-B02,22.99,8.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.979999999999999,14.979999999999999,34.84,1
18262,107-BP,2.19,2.19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,1
18616,T3701121,1.99,1.91,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08000000000000007,0.8000000000000007,95.98,1
18662,51-R49007-S,1.49,0.48,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,12.120000000000001,32.21,1
19268,T1210157,3.99,3.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2400000000000002,0.2400000000000002,93.98,1
19711,T1231747,17.99,16.79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1999999999999993,2.3999999999999986,93.33,1
19925,T2700648,667.99,318.61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.38,349.38,47.7,1
19934,T2066717,135.99,124.62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.370000000000005,11.370000000000005,91.64,1
19972,T3600039,3.99,2.51,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4800000000000004,8.880000000000003,62.91,1
19999,160508,9.99,3.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,12.58,37.04,1
20234,315-1321-BIM,12.99,5.23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76,7.76,40.26,1
20243,269703-BIM,18.99,5.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.29,13.29,30.02,1
20254,T2308151-BIM,34.99,12.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.740000000000002,22.740000000000002,35.01,1
20274,A9638058-BIM,305.99,147.39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.60000000000002,158.60000000000002,48.17,1
20275,T2309020-BIM,6.99,3.04,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,7.9,43.49,1
20277,A9808085-BIM,156.99,75.88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.11000000000001,81.11000000000001,48.33,1
20278,A9758009-BIM,160.99,77.79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2,83.2,48.32,1
20291,T2700526-BIM,139.99,49.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.99000000000001,90.99000000000001,35.0,1
20295,59-221-BIM,43.47,23.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.99,19.99,54.01,1
20297,T2073058-BIM,10.99,4.49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.5,40.86,1
20507,09-2034,999.95,362.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.47,637.47,36.25,1
20529,T2701034,1.99,1.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09000000000000008,0.09000000000000008,95.48,1
20536,38301-MEG-000,59.99,12.52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.47,47.47,20.87,1
20553,237305210,6.99,2.9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,40.9,41.49,1
