,Part Number,Price,Margin,Quantity,Sales Last Year - Jan,Sales Last Year - Feb,Sales Last Year - Mar,Sales Last Year - Apr,Sales Last Year - May,Sales Last Year - Jun,Sales Last Year - Jul,Sales Last Year - Aug,Sales Last Year - Sep,Sales Last Year - Oct,Sales Last Year - Nov,Last Year Total Sales,Sales - Jan,Sales - Feb,Sales - Mar,Sales - Apr,Sales - May,Sales - Jun,Sales - Jul,Sales - Aug,Sales - Sep,Sales - Oct,Sales - Nov,Total Sales,Sales Last Week,Sales Last 2 Weeks,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales Last 2 Years,Sales Last 3 Years,Sales Last 4 Years,Sales Last 5 Years,Cost Per Unit,Total Cost,Margin %,Obsolete
35215,T3600056,10.99,3.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,7.08,7.08,35.58,0
35287,A9830079,103.99,37.04,3,0,2,1,0,1,0,0,0,0,0,0,4,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,4,6,7,7,7,66.94999999999999,200.84999999999997,35.62,0
35303,A9838036,132.99,80.19,2,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,52.80000000000001,105.60000000000002,60.3,0
35405,T1260309,7.99,3.72,19,6,6,10,0,4,8,4,8,0,4,8,65,14,4,12,6,10,10,0,0,0,0,0,56,0,0,20,42,68,80,-98,36,115,-11,66,4.27,81.13,46.56,0
35430,A9630716,265.99,93.74,3,0,0,3,2,2,0,0,0,2,-1,0,8,0,0,1,2,0,0,1,0,0,0,0,4,1,1,1,4,3,5,13,19,19,19,19,172.25,516.75,35.24,0
35440,A9700429,260.99,91.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,1,2,169.0,169.0,35.25,1
35457,T4007771,14.99,5.49,27,0,0,10,13,8,5,14,15,15,18,6,105,31,11,17,9,24,19,13,0,0,0,0,125,3,14,58,101,-106,-62,-25,-25,-25,-25,-25,9.5,261.25,36.62,0
35521,2880917-156,579.99,174.0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,1,1,2,3,3,3,3,405.99,811.98,30.0,0
35531,1550,18.49,9.24,70,0,0,0,0,0,0,0,0,0,0,0,0,17,23,82,68,57,79,49,0,0,0,0,119,20,62,-57,109,119,119,119,119,119,119,119,9.249999999999998,647.4999999999999,49.97,0
35546,85040821A,2.99,1.714,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,2,14,33,8,0,0,0,0,66,2,8,56,66,66,66,66,66,90,101,-121,1.2760000000000002,5.104000000000001,57.32,0
