,Part Number,Description,Supplier Name,Margin %,Margin,Price,Quantity,Gross Profit -  Last Month,Gross Profit -  Last 3 Months,Gross Profit -  Last 6 Months,Gross Profit -  Last 9 Months,Gross Profit -  Last 12 Months,Gross Profit -  Last 2 Years,Gross Profit -  Last 3 Years,Gross Profit -  Last 4 Years,Gross Profit -  Last 5 Years,Gross Profit -  Last 10 Years,Total Gross Profit,Gross Profit - Jan,Gross Profit - Feb,Gross Profit - Mar,Gross Profit - Apr,Gross Profit - May,Gross Profit - Jun,Gross Profit - Jul,Gross Profit - Aug,Gross Profit - Sep,Gross Profit - Oct,Gross Profit - Nov,Gross Profit - Dec
8538,1120-0363,chr inner primary cover f/14-1,parts canada/power twins,46.18,96.97,209.99,2.0,0.0,0.0,0.0,0.0,-209.99,-209.99,-209.99,-209.99,-209.99,-209.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8538,1120-0363,chr inner primary cover f/14-1,parts canada/power twins,46.18,96.97,209.99,2.0,0.0,0.0,0.0,0.0,-209.99,-209.99,-209.99,-209.99,-209.99,-209.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8538,1120-0363,chr inner primary cover f/14-1,parts canada/power twins,46.18,96.97,209.99,2.0,0.0,0.0,0.0,0.0,-209.99,-209.99,-209.99,-209.99,-209.99,-209.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8538,1120-0363,chr inner primary cover f/14-1,parts canada/power twins,46.18,96.97,209.99,2.0,0.0,0.0,0.0,0.0,-209.99,-209.99,-209.99,-209.99,-209.99,-209.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8538,1120-0363,chr inner primary cover f/14-1,parts canada/power twins,46.18,96.97,209.99,2.0,0.0,0.0,0.0,0.0,-209.99,-209.99,-209.99,-209.99,-209.99,-209.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9112,11321250267,seal,bmw group canada,34.54,3.16,9.15,0.0,0.0,0.0,0.0,18.3,18.3,54.900000000000006,73.2,-36.6,146.4,146.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9824,11427719357,oil filter,bmw group canada,54.54,17.25,31.63,0.0,0.0,0.0,0.0,0.0,0.0,31.63,63.26,-31.63,2688.55,5440.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10824,12110311A,piston pin circlip,ducati canada,51.95,4.93,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.88,0.0,-113.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10824,12110311A,piston pin circlip,ducati canada,51.95,4.93,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.88,0.0,-113.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10825,12110311A,piston pin circlip,ducati,54.35,5.43,9.99,12.0,0.0,0.0,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,0.0,-119.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10825,12110311A,piston pin circlip,ducati,54.35,5.43,9.99,12.0,0.0,0.0,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,0.0,-119.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10825,12110311A,piston pin circlip,ducati,54.35,5.43,9.99,12.0,0.0,0.0,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,0.0,-119.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10825,12110311A,piston pin circlip,ducati,54.35,5.43,9.99,12.0,0.0,0.0,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,0.0,-119.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10825,12110311A,piston pin circlip,ducati,54.35,5.43,9.99,12.0,0.0,0.0,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,0.0,-119.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10825,12110311A,piston pin circlip,ducati,54.35,5.43,9.99,12.0,0.0,0.0,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,0.0,-119.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10825,12110311A,piston pin circlip,ducati,54.35,5.43,9.99,12.0,0.0,0.0,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,0.0,-119.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10825,12110311A,piston pin circlip,ducati,54.35,5.43,9.99,12.0,0.0,0.0,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,0.0,-119.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10825,12110311A,piston pin circlip,ducati,54.35,5.43,9.99,12.0,0.0,0.0,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,0.0,-119.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10825,12110311A,piston pin circlip,ducati,54.35,5.43,9.99,12.0,0.0,0.0,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,-119.88,0.0,-119.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11052,12137715848,"ignition coil, secon plug, r",bmw group canada,36.12,97.69,270.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-270.49,270.49,0.0,0.0,0.0,0.0,0.0,0.0
11053,12137715848,"ignition coil, secondary plug,",bmw group canada,36.23,98.19,270.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-270.99,270.99,0.0,0.0,0.0,0.0,0.0,0.0
11431,1240060-T0301,float bowl gskt,triumph motorcycles,35.74,5.0,13.99,5.0,0.0,0.0,41.97,41.97,83.94,83.94,321.77,405.71,405.71,405.71,41.97,0.0,41.97,-41.97,41.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12082,1310-2266,shock 412 triumph 12.5,parts canada/power twins,30.0,164.42,547.99,1.0,0.0,0.0,0.0,-547.99,547.99,547.99,547.99,547.99,547.99,547.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12600,13325,"icon patrol glove, blk med",parts canada/power twins,52.0,51.99,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14141,149904,ultrasound r/speaker amp/pod,parts canada    power twins (price,34.55,190.02,549.99,0.0,0.0,0.0,0.0,0.0,0.0,-549.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16742,1802-0346,"3.5"" machined end cap castle c",parts canada/power twins,38.41,105.615,274.99,1.0,0.0,0.0,0.0,0.0,0.0,-274.99,274.99,274.99,274.99,274.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17116,18127716478,clamp,bmw group canada,29.03,20.03,68.99,2.0,0.0,-137.98,137.98,137.98,137.98,137.98,137.98,137.98,137.98,137.98,137.98,0.0,0.0,137.98,137.98,-137.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17116,18127716478,clamp,bmw group canada,29.03,20.03,68.99,2.0,0.0,-137.98,137.98,137.98,137.98,137.98,137.98,137.98,137.98,137.98,137.98,0.0,0.0,137.98,137.98,-137.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17117,18127716478,clamp,bmw group canada,28.0,19.04,68.0,0.0,0.0,0.0,0.0,272.0,272.0,272.0,612.0,680.0,1088.0,1156.0,136.0,0.0,0.0,136.0,136.0,-136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18296,2001-1509,adapter ring kit raw aluminum,parts canada    power twins (price,39.55,135.24,341.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-341.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19635,2206390,"k-lever,clutch,n,j",polaris acceptance,40.0,61.6,153.99,3.0,0.0,153.99,461.97,461.97,769.95,1077.93,1539.9,1539.9,1539.9,1539.9,461.97,0.0,0.0,153.99,153.99,307.98,-153.99,0.0,0.0,0.0,0.0,0.0,0.0
19649,2207725,"k-lever,frmc,ind",polaris acceptance,40.0,66.8,166.99,4.0,0.0,-166.99,0.0,0.0,0.0,166.99,667.96,1001.94,1001.94,1001.94,0.0,0.0,0.0,0.0,166.99,0.0,-166.99,0.0,0.0,0.0,0.0,0.0,0.0
19649,2207725,"k-lever,frmc,ind",polaris acceptance,40.0,66.8,166.99,4.0,0.0,-166.99,0.0,0.0,0.0,166.99,667.96,1001.94,1001.94,1001.94,0.0,0.0,0.0,0.0,166.99,0.0,-166.99,0.0,0.0,0.0,0.0,0.0,0.0
